"area_code","area_type","area_name","year","period","indicator","quintile","measure","value","upper_confidence_interval","lower_confidence_interval","label_inequality","data_source"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.8,15.2,14.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.6,12.8,12.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",16.2,16.3,16,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",12.1,14.9,9.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",22.1,46.1,28.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",22.4,22.9,21.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20.2,20.5,19.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",17.4,17.8,17,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",15.3,15.7,15,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",13,13.3,12.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",16.6,16.8,16.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",12,14.2,9.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",21.5,42.7,29.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",21.9,22.4,21.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20,20.3,19.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.7,17,16.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",15.1,15.5,14.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.8,13,12.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",16.3,16.4,16.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.8,14.7,8.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",21.3,45.1,27.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",23.2,23.7,22.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20.8,21.1,20.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",18.1,18.5,17.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",16,16.4,15.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",13.6,13.8,13.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",17.2,17.3,17,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.8,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",12.1,14.4,9.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",20.9,41.9,28.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",24.1,24.6,23.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",21.4,21.7,21,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",17.7,18.1,17.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",16,16.3,15.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",14.3,14.5,14.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",17.6,17.8,17.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,1,0.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.9,16.9,6.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",18.8,48,19.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",23.8,24.4,23.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",21.2,21.6,20.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",17.9,18.3,17.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",16.7,17.1,16.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",14.3,14.6,14.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",17.7,17.9,17.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.6,15.2,8.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",19.2,42.8,22.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",18.6,19.7,17.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",18.3,18.8,17.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",15.8,16.1,15.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",13.9,14.1,13.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12,12.2,11.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",14,14.2,13.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.5,0.7,0.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",7,10.1,3.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",14.7,36,14.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",19.3,20.3,18.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.1,19.7,18.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.4,16.8,16.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.3,14.5,14,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.7,12.9,12.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",14.6,14.8,14.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.5,0.7,0.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",6.9,10.9,2.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",13.1,37.1,9.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",20.6,21.7,19.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.5,20,18.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.9,17.2,16.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.6,14.8,14.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",13.2,13.4,13,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",15,15.2,14.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.5,0.8,0.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",6.9,11.5,2.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",12.4,38.2,7.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",21.4,22.3,20.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.4,19.9,18.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",17.6,17.9,17.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.5,14.7,14.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",13.4,13.7,13.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",15.5,15.6,15.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.5,0.8,0.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",7.6,12.7,2.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",13.3,41.1,8,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",22.2,23.2,21.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20.3,20.8,19.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",18.7,19,18.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.9,15.1,14.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",14,14.2,13.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",16.1,16.3,16,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.5,0.9,0.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",8.3,14.2,2.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",13.4,44.2,7.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",23.1,24.1,22.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",21.2,21.8,20.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2019,"2019/20 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",19.2,19.6,18.9,"People","Public Health Scotland (Prescribing Information System)"
