"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S12000005","Council area","Clackmannanshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",10733,20.9,21.2,20.5,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11328,21.9,22.3,21.6,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11749,22.7,23.1,22.3,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12063,23.2,23.6,22.9,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22280,14.7,14.9,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23371,15.4,15.6,15.2,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24155,16,16.2,15.8,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24857,16.6,16.8,16.4,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26063,17.4,17.6,17.2,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",27174,18.3,18.5,18.1,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28011,18.9,19.1,18.7,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28357,19.2,19.4,19,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29169,19.8,20,19.6,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30257,20.6,20.8,20.4,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29905,20.5,20.7,20.3,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31409,21.5,21.7,21.2,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32168,22.1,22.3,21.9,"Public Health Scotland (Prescribing Information System)"
"S12000006","Council area","Dumfries & Galloway",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32682,22.4,22.6,22.2,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19356,15.8,16,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20327,16.6,16.8,16.4,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20927,17.1,17.3,16.9,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",21705,17.8,18,17.5,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22315,18.3,18.5,18.1,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23375,19.2,19.4,19,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24030,19.8,20,19.5,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24497,20.2,20.4,20,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25320,21,21.2,20.7,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26126,21.6,21.9,21.4,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25377,21.1,21.3,20.9,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26613,22.1,22.3,21.9,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",27265,22.6,22.9,22.4,"Public Health Scotland (Prescribing Information System)"
"S12000008","Council area","East Ayrshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",27610,22.9,23.1,22.6,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14671,14.8,15,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15530,15.5,15.8,15.3,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16528,16.4,16.6,16.1,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17025,16.7,16.9,16.5,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17695,17.2,17.4,17,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18592,17.9,18.1,17.6,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19139,18.2,18.4,18,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19244,18.1,18.4,17.9,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19823,18.5,18.8,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20202,18.6,18.9,18.4,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20109,18.4,18.6,18.1,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",21233,19.1,19.3,18.8,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22213,19.8,20,19.5,"Public Health Scotland (Prescribing Information System)"
"S12000010","Council area","East Lothian",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22624,19.9,20.1,19.7,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12467,13.8,14,13.6,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12881,14.2,14.4,14,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13424,14.7,15,14.5,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13827,15.1,15.3,14.8,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14351,15.5,15.7,15.3,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14744,15.8,16.1,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15199,16.2,16.4,15.9,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15497,16.3,16.6,16.1,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15927,16.7,17,16.5,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16097,16.9,17.1,16.6,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15713,16.4,16.6,16.2,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16588,17.2,17.5,17,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17060,17.6,17.8,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000011","Council area","East Renfrewshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17500,17.7,18,17.5,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3805,13.8,14.2,13.4,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3921,14.2,14.6,13.8,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4001,14.5,14.9,14.1,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4073,14.9,15.3,14.5,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4083,15,15.4,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4426,16.4,16.9,16,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4463,16.7,17.2,16.3,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4635,17.4,17.8,16.9,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4626,17.5,17.9,17,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4652,17.7,18.1,17.2,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4730,18.1,18.6,17.7,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4939,18.9,19.4,18.4,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4966,19,19.5,18.5,"Public Health Scotland (Prescribing Information System)"
"S12000013","Council area","Na h-Eileanan Siar",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",5055,19.4,19.9,18.9,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23655,15.2,15.4,15.1,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25236,16.2,16.3,16,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26842,17.1,17.3,17,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28119,17.9,18.1,17.7,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29040,18.5,18.7,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30268,19.2,19.4,19,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31421,19.8,20,19.6,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32174,20.2,20.4,20,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33371,21,21.2,20.8,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33937,21.3,21.5,21.1,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32482,20.4,20.6,20.2,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33913,21.3,21.6,21.1,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",34719,21.9,22.1,21.7,"Public Health Scotland (Prescribing Information System)"
"S12000014","Council area","Falkirk",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",35601,22.4,22.6,22.2,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30587,13.3,13.4,13.1,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32255,13.9,14,13.7,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33293,14.3,14.4,14.2,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",34388,14.8,14.9,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",35566,15.3,15.4,15.1,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",37234,15.9,16.1,15.8,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",38345,16.3,16.5,16.2,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",39440,16.8,17,16.6,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",40471,17.3,17.4,17.1,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",41729,17.8,18,17.6,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",41044,17.5,17.7,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",43409,18.4,18.6,18.2,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",44417,18.8,19,18.7,"Public Health Scotland (Prescribing Information System)"
"S12000017","Council area","Highland",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",45207,19.1,19.3,19,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14268,17.5,17.8,17.2,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14686,18.1,18.4,17.8,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15114,18.7,18.9,18.4,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15792,19.5,19.8,19.3,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16380,20.3,20.6,20.1,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17001,21.2,21.4,20.9,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17439,21.8,22.1,21.5,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17751,22.2,22.5,22,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18298,23.1,23.4,22.8,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19186,24.2,24.5,23.9,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18564,23.6,23.9,23.3,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19012,24.2,24.5,23.9,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19595,25,25.3,24.7,"Public Health Scotland (Prescribing Information System)"
"S12000018","Council area","Inverclyde",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19914,25.4,25.7,25.1,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12482,15.2,15.4,14.9,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13333,16,16.2,15.7,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13671,16.2,16.4,15.9,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14601,17.2,17.4,16.9,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15377,17.7,18,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16334,18.5,18.8,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16470,18.4,18.7,18.2,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16833,18.5,18.8,18.2,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17110,18.6,18.8,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17680,18.9,19.2,18.7,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17712,18.8,19.1,18.6,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18465,19.3,19.6,19,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19058,19.6,19.9,19.4,"Public Health Scotland (Prescribing Information System)"
"S12000019","Council area","Midlothian",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19418,19.8,20,19.5,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11839,12.6,12.8,12.4,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12444,13.3,13.5,13.1,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13269,14.3,14.5,14.1,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13943,14.8,15.1,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14408,15.3,15.5,15.1,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15049,15.9,16.1,15.7,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15690,16.5,16.7,16.3,"Public Health Scotland (Prescribing Information System)"
